Instancia,Custo,Expansões,Gerações,Tempo
1,15,12,12,0.00015
2,25,121,18,0.00075
3,26,166,24,0.0009
4,35,294,30,0.0015
5,36,102,30,0.00052
6,75,743,54,0.0042
7,141,2283,134,0.013
8,79,91166,60,0.57
9,94,59057,70,0.91
10,249,29634,146,0.46
